name,kind,episode,final_elo
RawMCTS_4096,raw_mcts,,1557.9248340847153
RawMCTS_1024,raw_mcts,,1518.611119751738
RawMCTS_256,raw_mcts,,1427.717035114351
RawMCTS_64,raw_mcts,,1339.3912562458725
Episode_20,network,20,1160.997996662097
Episode_13,network,13,1152.714296497826
Episode_23,network,23,1148.7418336493565
Episode_21,network,21,1148.2099551775182
Episode_10,network,10,1148.0548155136148
RawMCTS_16,raw_mcts,,1124.6558288074086
Episode_19,network,19,1121.1709909427273
Episode_4,network,4,1116.318459897897
Episode_12,network,12,1093.3606259766807
Episode_3,network,3,1064.1438992735707
Episode_1,network,1,1043.8769374088497
Episode_6,network,6,1034.1101149957767
