iteration,Episode_1,Episode_3,Episode_4,Episode_6,Episode_10,Episode_12,Episode_13,Episode_19,Episode_20,Episode_21,Episode_23,RawMCTS_16,RawMCTS_64,RawMCTS_256,RawMCTS_1024,RawMCTS_4096
0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
10,1184.736306793522,1200.0,1199.263693206478,1200.0,1184.7331947354535,1184.0,1169.4387739660467,1184.0,1200.0,1200.0,1200.0,1216.736306793522,1215.2975328274754,1184.736306793522,1231.263693206478,1245.7941916775023
20,1168.7685229587512,1200.7040225341211,1199.263693206478,1166.5320522316297,1185.4358049472403,1185.438890178813,1170.1074634075878,1184.7333361586896,1213.8908559612892,1200.06747394642,1201.4036567130472,1216.736306793522,1214.5935102933543,1200.7023986633528,1245.8278203282016,1245.7941916775023
30,1168.7685229587512,1215.9414574935424,1199.263693206478,1168.2295751933634,1185.4358049472403,1185.438890178813,1154.051634222097,1185.9968021306279,1196.1857491935455,1200.06747394642,1185.1630314731071,1202.0728983168428,1200.0265046932122,1232.505535963434,1260.4912288048808,1260.3611972776444
40,1168.7685229587512,1203.0864546304574,1166.9073326403864,1168.2295751933634,1173.3888133929913,1176.5544931133497,1140.9612399357122,1201.9765474217465,1196.1857491935455,1172.3782636580027,1185.1630314731071,1228.2328942777235,1200.0265046932122,1247.0160334291593,1297.989711568827,1273.1348324196645
50,1168.7685229587512,1203.0864546304574,1168.9872209558907,1168.2295751933634,1173.3888133929913,1161.225797700228,1130.8621439504884,1170.2934341328832,1209.6637699351731,1190.9285319964558,1174.183634788569,1209.6826259392703,1206.4689451193235,1260.3637172699694,1330.7319796165204,1273.1348324196645
60,1152.0515817734952,1187.3893150146582,1142.1359529627516,1152.5037429318202,1189.1861234140677,1150.2082713213742,1130.8621439504884,1173.4700096161807,1225.3609095509723,1190.9285319964558,1204.3805112730313,1207.9417210257102,1206.4689451193235,1272.2279016346317,1330.7319796165204,1284.1523587985182
70,1152.0515817734952,1159.0308490080217,1131.1630082865688,1132.8758696349582,1189.1861234140677,1150.2082713213742,1148.8145308900307,1155.5176226766384,1234.7704426187101,1177.156254172101,1189.4977479819004,1207.9417210257102,1266.0910047608322,1272.2279016346317,1349.314712002441,1284.1523587985182
80,1159.1457666365177,1136.7623047102775,1131.1630082865688,1117.758048239279,1203.4351499327402,1139.9482468929966,1150.1168281257615,1155.5176226766384,1206.586734935243,1175.8539569363702,1177.7520170480632,1195.691652826616,1303.1626267287,1285.850079977703,1365.3578663141693,1295.8980897323554
90,1157.9483039943766,1134.2919457167677,1148.7392541843105,1117.758048239279,1215.4315461154456,1139.9482468929966,1147.9258863916434,1141.2527994732598,1206.586734935243,1148.3120364888587,1179.5628228772257,1195.691652826616,1303.1626267287,1270.7711355535466,1371.6653306506728,1320.9516289310577
100,1146.9687475283374,1134.2919457167677,1167.5119643481773,1117.758048239279,1197.950956117617,1157.1901781695,1139.2946736882268,1141.2527994732598,1187.9279719897868,1168.0580946984142,1162.1470575219744,1174.2873366745878,1314.3086356551314,1281.7506920195858,1379.71805652488,1329.5828416344743
110,1130.0140848295869,1134.2919457167677,1183.8239422279319,1109.9950169474178,1197.950956117617,1172.8895250644493,1139.2946736882268,1143.1685199933727,1187.9279719897868,1168.0580946984142,1177.185999700612,1134.9614634821974,1311.199869463471,1303.0637642867457,1376.5913301589285,1329.5828416344743
120,1124.2112176130795,1143.8160210282495,1183.8239422279319,1080.0792813458422,1227.6554390056472,1158.0416490983232,1139.2946736882268,1157.6428746146398,1173.0713650678827,1168.0580946984142,1167.7861757867727,1134.9614634821974,1298.1761961005363,1303.0637642867457,1401.3351764071972,1338.9826655483137
130,1109.7460681410694,1137.1019905947273,1181.9896099564749,1080.0792813458422,1190.4095767642027,1167.5413875630718,1139.2946736882268,1172.10802408665,1191.5645756274569,1168.0580946984142,1158.6561429051199,1119.4911950418007,1298.1761961005363,1329.5148071392234,1401.3351764071972,1354.9331999399863
140,1101.3475000534438,1137.1019905947273,1180.6261577418495,1097.4421766448954,1190.4095767642027,1161.137105681931,1138.4846410554605,1155.7965039444416,1184.9779005438113,1168.0580946984142,1153.674093683894,1122.5000200579696,1298.1761961005363,1329.5148071392234,1407.6806778430484,1373.0725574521507
150,1085.991119565025,1139.3411866583301,1180.6261577418495,1097.4421766448954,1180.0701664451658,1146.520212122508,1138.4846410554605,1140.951385590687,1199.6371987268874,1168.0580946984142,1147.6537988826792,1124.5727443109024,1298.1761961005363,1345.4846582902517,1419.516969187074,1387.4732939793332
160,1080.1236856093842,1139.3411866583301,1153.0319120970898,1114.913498687204,1184.1449411726069,1146.520212122508,1122.9067983741609,1112.0107232679682,1212.9600296688932,1166.2046040368184,1163.2316415639789,1124.5727443109024,1309.582976212346,1351.3520922458924,1431.629659992583,1387.4732939793332
